主成分,特征值,解释方差比,累计解释方差比
PC1,8.927334476077572,0.48792322584575987,0.48792322584575987
PC2,2.4586516624682626,0.13437754052984036,0.6223007663756002
PC3,1.7650596023075251,0.09646928512376245,0.7187700514993626
PC4,1.335417959116869,0.07298723266286208,0.7917572841622247
PC5,1.1981193973101714,0.06548318345755648,0.8572404676197811
PC6,1.0127154929627584,0.055349938048638476,0.9125904056684196
PC7,0.89871696245444,0.04911935142769963,0.9617097570961193
PC8,0.7005811312463811,0.03829024289841514,0.9999999999945344
