因子,特征值,方差解释比例,累计方差解释比例
F1,8.92733447607758,0.4251111655275038,0.4251111655275038
F2,2.4586516624682675,0.11707865059372702,0.5421898161212308
F3,1.765059602307527,0.08405045725273938,0.6262402733739703
F4,1.335417959116869,0.06359133138651757,0.6898316047604878
F5,1.1981193973101707,0.05705330463381765,0.7468849093943054
F6,1.0127154929627544,0.04822454728394069,0.7951094566782461
F7,0.8987169624544373,0.042796045831163684,0.8379055025094098
F8,0.7005811312463802,0.03336100624982763,0.8712665087592374
